GUID,GEOGDESC,Population,PC_Yes,PC_No,PC_NS,Int_Broadband,Int_Other,Int_No,Int_NS,Households,Prop_PC,Prop_Broadband
2AE1962921E913A3E055000000000001,Kilphelan,516,121,53,1,106,25,41,3,175,69.14285714,60.57142857
2AE1962921A013A3E055000000000001,Marshalstown,387,91,35,4,76,25,26,3,130,70,58.46153846
2AE1962921E113A3E055000000000001,Mitchelstown,5135,1205,697,65,1282,124,511,50,1967,61.26080325,65.175394
2AE1962921F613A3E055000000000001,Templemolaga,307,70,42,4,40,31,40,5,116,60.34482759,34.48275862
2AE19629203F13A3E055000000000001,Aghadown North,288,76,27,0,75,5,23,0,103,73.78640777,72.81553398
2AE19629204013A3E055000000000001,Aghadown South,574,176,52,6,160,25,46,3,234,75.21367521,68.37606838
2AE196291F1013A3E055000000000001,Bredagh,582,146,82,7,146,13,70,6,235,62.12765957,62.12765957
2AE196291F2413A3E055000000000001,Caheragh,311,73,31,3,60,15,26,6,107,68.22429907,56.07476636
2AE196291F3C13A3E055000000000001,Cléire,342,92,26,4,77,15,25,5,122,75.40983607,63.1147541
2AE196291F5113A3E055000000000001,Carrigbaun,344,96,39,5,84,18,32,6,140,68.57142857,60
2AE196291F7713A3E055000000000001,Castlehaven North,806,224,61,8,200,22,64,7,293,76.45051195,68.25938567
2AE196291F7813A3E055000000000001,Castlehaven South,498,124,52,5,107,24,49,1,181,68.50828729,59.1160221
2AE196291EF413A3E055000000000001,Cloghdonnell,354,98,42,0,78,21,39,2,140,70,55.71428571
2AE196291F3213A3E055000000000001,Cloonkeen,348,91,41,1,77,14,41,1,133,68.42105263,57.89473684
2AE196291EFD13A3E055000000000001,Drinagh,360,93,27,4,90,7,22,5,124,75,72.58064516
2AE196291F0013A3E055000000000001,Dromdaleague North,295,68,22,3,59,9,23,2,93,73.11827957,63.44086022
2AE196291F0813A3E055000000000001,Dromdaleague South,630,145,58,5,136,13,55,4,208,69.71153846,65.38461538
2AE196291F4213A3E055000000000001,Garranes,351,85,38,3,78,9,36,3,126,67.46031746,61.9047619
2AE196291F6F13A3E055000000000001,Gortnascreeny,502,120,62,4,108,18,56,4,186,64.51612903,58.06451613
2AE19629218513A3E055000000000001,Kilfaughnabeg,538,149,62,3,140,16,54,4,214,69.62616822,65.42056075
2AE1962921B913A3E055000000000001,Killeenleagh,365,93,29,5,82,19,22,4,127,73.22834646,64.56692913
2AE19629213513A3E055000000000001,Knockskagh,544,146,61,5,149,17,42,4,212,68.86792453,70.28301887
2AE19629210D13A3E055000000000001,Myross,747,214,65,3,210,21,49,2,282,75.88652482,74.46808511
2AE1962921A413A3E055000000000001,Shreelane,378,91,31,2,84,11,27,2,124,73.38709677,67.74193548
2AE1962921BD13A3E055000000000001,Skibbereen Rural,1300,331,108,8,319,36,81,11,447,74.049217,71.36465324
2AE19629211C13A3E055000000000001,Tullagh,738,216,60,14,204,27,46,13,290,74.48275862,70.34482759
2AE19629213B13A3E055000000000001,Woodfort,374,90,40,2,82,15,32,3,132,68.18181818,62.12121212
2AE196291F2B13A3E055000000000001,Ballybane,267,74,39,1,64,14,35,1,114,64.9122807,56.14035088
2AE196291F3613A3E055000000000001,Ballydehob,846,266,99,7,267,21,80,4,372,71.50537634,71.77419355
2AE196291F4A13A3E055000000000001,Coolagh,191,65,17,3,59,8,15,3,85,76.47058824,69.41176471
2AE196291F6D13A3E055000000000001,Crookhaven,225,57,28,2,51,11,23,2,87,65.51724138,58.62068966
2AE196291F0913A3E055000000000001,Dunbeacon,173,53,19,2,41,12,19,2,74,71.62162162,55.40540541
2AE196291F1513A3E055000000000001,Dunmanus,238,66,24,1,55,11,24,1,91,72.52747253,60.43956044
2AE196291F6413A3E055000000000001,Goleen,229,59,37,7,56,8,32,7,103,57.2815534,54.36893204
2AE19629213F13A3E055000000000001,Kilcoe,441,126,39,5,115,13,39,3,170,74.11764706,67.64705882
2AE19629216C13A3E055000000000001,Lowertown,228,61,20,2,54,8,18,3,83,73.4939759,65.06024096
2AE1962921BF13A3E055000000000001,Skull,1053,294,113,13,290,38,77,15,420,70,69.04761905
2AE19629211B13A3E055000000000001,Toormore,186,54,22,2,54,5,17,2,78,69.23076923,69.23076923
2AE196291FA613A3E055000000000001,Ardagh,667,159,64,4,140,31,52,4,227,70.04405286,61.67400881
2AE196291F3113A3E055000000000001,Clonpriest,1073,229,95,14,182,64,81,11,338,67.75147929,53.84615385
2AE19629214F13A3E055000000000001,Kilcronat,181,42,17,1,23,18,18,1,60,70,38.33333333
2AE19629219E13A3E055000000000001,Killeagh,1539,372,142,7,387,45,80,9,521,71.40115163,74.28023033
2AE1962921C413A3E055000000000001,Kilmacdonogh,954,241,106,2,166,110,71,2,349,69.05444126,47.56446991
2AE19629214713A3E055000000000001,Youghal Rural,1264,344,109,2,353,39,61,2,455,75.6043956,77.58241758
2AE19629229313A3E055000000000001,Killarney Urban,10826,2146,1096,128,2188,297,774,111,3370,63.67952522,64.92581602
2AE19629225213A3E055000000000001,Listowel Urban,4260,1103,693,40,1185,107,505,39,1836,60.07625272,64.54248366
2AE19629221F13A3E055000000000001,Tralee Urban,4954,1156,1032,85,1205,213,784,71,2273,50.85789705,53.01363836
2AE19629239F13A3E055000000000001,Na Beathacha,197,49,25,0,48,10,14,2,74,66.21621622,64.86486486
2AE1962923AD13A3E055000000000001,Baile an Sceilg,390,101,51,2,82,23,47,2,154,65.58441558,53.24675325
2AE1962923AF13A3E055000000000001,An Baile Breac,83,20,13,0,22,0,11,0,33,60.60606061,66.66666667
2AE19629234313A3E055000000000001,Caher,1823,495,270,19,488,53,230,13,784,63.1377551,62.24489796
